Park,Name,ShortName,Unit Code,Park Type,Region,State,Year,Month,Date,Latitude,Longitude,Recreation Visits,Rank
Acadia NP,Acadia National Park,Acadia,ACAD,National Park,Northeast,ME,2012,1,Jan 1 2012,44.35,-68.21,2431052,10
Acadia NP,Acadia National Park,Acadia,ACAD,National Park,Northeast,ME,2013,1,Jan 1 2013,44.35,-68.21,2254922,10
Acadia NP,Acadia National Park,Acadia,ACAD,National Park,Northeast,ME,2014,1,Jan 1 2014,44.35,-68.21,2563129,9
Acadia NP,Acadia National Park,Acadia,ACAD,National Park,Northeast,ME,2015,1,Jan 1 2015,44.35,-68.21,2811184,9
Acadia NP,Acadia National Park,Acadia,ACAD,National Park,Northeast,ME,2016,1,Jan 1 2016,44.35,-68.21,3303393,8
Acadia NP,Acadia National Park,Acadia,ACAD,National Park,Northeast,ME,2017,1,Jan 1 2017,44.35,-68.21,3509271,7
Acadia NP,Acadia National Park,Acadia,ACAD,National Park,Northeast,ME,2018,1,Jan 1 2018,44.35,-68.21,3537575,7
Acadia NP,Acadia National Park,Acadia,ACAD,National Park,Northeast,ME,2019,1,Jan 1 2019,44.35,-68.21,3437286,7
Acadia NP,Acadia National Park,Acadia,ACAD,National Park,Northeast,ME,2020,1,Jan 1 2020,44.35,-68.21,2669034,8
Acadia NP,Acadia National Park,Acadia,ACAD,National Park,Northeast,ME,2021,1,Jan 1 2021,44.35,-68.21,4069098,6
Glacier NP,Glacier National Park,Glacier,GLAC,National Park,Intermountain,MT,2012,1,Jan 1 2012,48.8,-114,2162035,12
Glacier NP,Glacier National Park,Glacier,GLAC,National Park,Intermountain,MT,2013,1,Jan 1 2013,48.8,-114,2190374,11
Glacier NP,Glacier National Park,Glacier,GLAC,National Park,Intermountain,MT,2014,1,Jan 1 2014,48.8,-114,2338528,9
Glacier NP,Glacier National Park,Glacier,GLAC,National Park,Intermountain,MT,2015,1,Jan 1 2015,48.8,-114,2366056,10
Glacier NP,Glacier National Park,Glacier,GLAC,National Park,Intermountain,MT,2016,1,Jan 1 2016,48.8,-114,2946681,10
Glacier NP,Glacier National Park,Glacier,GLAC,National Park,Intermountain,MT,2017,1,Jan 1 2017,48.8,-114,3305512,10
Glacier NP,Glacier National Park,Glacier,GLAC,National Park,Intermountain,MT,2018,1,Jan 1 2018,48.8,-114,2965309,10
Glacier NP,Glacier National Park,Glacier,GLAC,National Park,Intermountain,MT,2019,1,Jan 1 2019,48.8,-114,3049839,10
Glacier NP,Glacier National Park,Glacier,GLAC,National Park,Intermountain,MT,2020,1,Jan 1 2020,48.8,-114,1698864,13
Glacier NP,Glacier National Park,Glacier,GLAC,National Park,Intermountain,MT,2021,1,Jan 1 2021,48.8,-114,3081656,10
Grand Canyon NP,Grand Canyon National Park,Grand Canyon,GRCA,National Park,Intermountain,AZ,2012,1,Jan 1 2012,36.06,-112.14,4421352,2
Grand Canyon NP,Grand Canyon National Park,Grand Canyon,GRCA,National Park,Intermountain,AZ,2013,1,Jan 1 2013,36.06,-112.14,4564840,2
Grand Canyon NP,Grand Canyon National Park,Grand Canyon,GRCA,National Park,Intermountain,AZ,2014,1,Jan 1 2014,36.06,-112.14,4756771,2
Grand Canyon NP,Grand Canyon National Park,Grand Canyon,GRCA,National Park,Intermountain,AZ,2015,1,Jan 1 2015,36.06,-112.14,5520736,2
Grand Canyon NP,Grand Canyon National Park,Grand Canyon,GRCA,National Park,Intermountain,AZ,2016,1,Jan 1 2016,36.06,-112.14,5969811,2
Grand Canyon NP,Grand Canyon National Park,Grand Canyon,GRCA,National Park,Intermountain,AZ,2017,1,Jan 1 2017,36.06,-112.14,6254238,2
Grand Canyon NP,Grand Canyon National Park,Grand Canyon,GRCA,National Park,Intermountain,AZ,2018,1,Jan 1 2018,36.06,-112.14,6380495,2
Grand Canyon NP,Grand Canyon National Park,Grand Canyon,GRCA,National Park,Intermountain,AZ,2019,1,Jan 1 2019,36.06,-112.14,5974411,2
Grand Canyon NP,Grand Canyon National Park,Grand Canyon,GRCA,National Park,Intermountain,AZ,2020,1,Jan 1 2020,36.06,-112.14,2897098,6
Grand Canyon NP,Grand Canyon National Park,Grand Canyon,GRCA,National Park,Intermountain,AZ,2021,1,Jan 1 2021,36.06,-112.14,4532677,4
