Park,Name,ShortName,Unit Code,Park Type,Region,State,Year,Date,Recreation Visits,Tent Campers,RV Campers,Backcountry Campers,Latitude,Longitude,Summer,Autumn,Winter,Spring
Acadia NP,Acadia National Park,Acadia,ACAD,National Park,Northeast,ME,2012,Jan 1 2012,11930,0,0,0,44.35,-68.21,1422739,733127,35625,239561
Acadia NP,Acadia National Park,Acadia,ACAD,National Park,Northeast,ME,2013,Jan 1 2013,11249,0,0,0,44.35,-68.21,1488405,536485,28658,201374
Acadia NP,Acadia National Park,Acadia,ACAD,National Park,Northeast,ME,2014,Jan 1 2014,10459,0,0,0,44.35,-68.21,1538070,763106,34227,227726
Acadia NP,Acadia National Park,Acadia,ACAD,National Park,Northeast,ME,2015,Jan 1 2015,12578,0,0,0,44.35,-68.21,1633025,872594,37084,268481
Acadia NP,Acadia National Park,Acadia,ACAD,National Park,Northeast,ME,2016,Jan 1 2016,17204,0,0,0,44.35,-68.21,1878209,1037872,47845,339467
Acadia NP,Acadia National Park,Acadia,ACAD,National Park,Northeast,ME,2017,Jan 1 2017,15520,0,0,0,44.35,-68.21,1982156,1155988,41946,329181
Acadia NP,Acadia National Park,Acadia,ACAD,National Park,Northeast,ME,2018,Jan 1 2018,11974,0,0,0,44.35,-68.21,2025547,1129531,36833,345664
Acadia NP,Acadia National Park,Acadia,ACAD,National Park,Northeast,ME,2019,Jan 1 2019,8532,0,0,0,44.35,-68.21,2006894,1085478,30551,314363
Acadia NP,Acadia National Park,Acadia,ACAD,National Park,Northeast,ME,2020,Jan 1 2020,12640,0,0,0,44.35,-68.21,1376873,1057430,47359,187372
Acadia NP,Acadia National Park,Acadia,ACAD,National Park,Northeast,ME,2021,Jan 1 2021,20268,0,0,0,44.35,-68.21,2239502,1306014,50772,472810
Arches NP,Arches National Park,Arches,ARCH,National Park,Intermountain,UT,2012,Jan 1 2012,14961,266,96,28,38.68,-109.57,428214,272281,51133,318949
Arches NP,Arches National Park,Arches,ARCH,National Park,Intermountain,UT,2013,Jan 1 2013,11099,110,26,4,38.68,-109.57,457946,245129,48449,331342
Arches NP,Arches National Park,Arches,ARCH,National Park,Intermountain,UT,2014,Jan 1 2014,17038,101,36,1,38.68,-109.57,513546,327707,66108,377406
Arches NP,Arches National Park,Arches,ARCH,National Park,Intermountain,UT,2015,Jan 1 2015,20699,288,137,14,38.68,-109.57,558007,336657,82227,422356
Arches NP,Arches National Park,Arches,ARCH,National Park,Intermountain,UT,2016,Jan 1 2016,20311,274,197,21,38.68,-109.57,610405,416560,86801,471952
Arches NP,Arches National Park,Arches,ARCH,National Park,Intermountain,UT,2017,Jan 1 2017,21549,338,113,0,38.68,-109.57,563591,398795,104122,472520
Arches NP,Arches National Park,Arches,ARCH,National Park,Intermountain,UT,2018,Jan 1 2018,31810,230,257,0,38.68,-109.57,603776,428405,114014,517362
Arches NP,Arches National Park,Arches,ARCH,National Park,Intermountain,UT,2019,Jan 1 2019,21499,48,55,0,38.68,-109.57,619089,431041,91119,518453
Arches NP,Arches National Park,Arches,ARCH,National Park,Intermountain,UT,2020,Jan 1 2020,28462,48,142,0,38.68,-109.57,522062,485646,134920,95455
