Park,Name,ShortName,Unit Code,Park Type,Region,State,Year,Month,Date,Season,Recreation Visits,Tent Campers,RV Campers,Backcountry Campers,Latitude,Longitude
Acadia NP,Acadia National Park,Acadia,ACAD,National Park,Northeast,ME,2012,1,Jan 1 2012,Winter,11930,0,0,0,44.35,-68.21
Acadia NP,Acadia National Park,Acadia,ACAD,National Park,Northeast,ME,2012,2,Feb 1 2012,Winter,12388,0,0,0,44.35,-68.21
Acadia NP,Acadia National Park,Acadia,ACAD,National Park,Northeast,ME,2012,3,Mar 1 2012,Spring,22684,0,0,0,44.35,-68.21
Acadia NP,Acadia National Park,Acadia,ACAD,National Park,Northeast,ME,2012,4,Apr 1 2012,Spring,59471,1338,174,0,44.35,-68.21
Acadia NP,Acadia National Park,Acadia,ACAD,National Park,Northeast,ME,2012,5,May 1 2012,Spring,157406,7800,1467,29,44.35,-68.21
Acadia NP,Acadia National Park,Acadia,ACAD,National Park,Northeast,ME,2012,6,Jun 1 2012,Summer,309198,17220,3888,205,44.35,-68.21
Acadia NP,Acadia National Park,Acadia,ACAD,National Park,Northeast,ME,2012,7,Jul 1 2012,Summer,539234,36156,6540,300,44.35,-68.21
Acadia NP,Acadia National Park,Acadia,ACAD,National Park,Northeast,ME,2012,8,Aug 1 2012,Summer,574307,37554,7200,392,44.35,-68.21
Acadia NP,Acadia National Park,Acadia,ACAD,National Park,Northeast,ME,2012,9,Sep 1 2012,Autumn,391810,17832,6291,334,44.35,-68.21
Acadia NP,Acadia National Park,Acadia,ACAD,National Park,Northeast,ME,2012,10,Oct 1 2012,Autumn,302932,6387,1134,56,44.35,-68.21
Acadia NP,Acadia National Park,Acadia,ACAD,National Park,Northeast,ME,2012,11,Nov 1 2012,Autumn,38385,195,66,0,44.35,-68.21
Acadia NP,Acadia National Park,Acadia,ACAD,National Park,Northeast,ME,2012,12,Dec 1 2012,Winter,11307,0,0,0,44.35,-68.21
Acadia NP,Acadia National Park,Acadia,ACAD,National Park,Northeast,ME,2013,1,Jan 1 2013,Winter,11249,0,0,0,44.35,-68.21
Acadia NP,Acadia National Park,Acadia,ACAD,National Park,Northeast,ME,2013,2,Feb 1 2013,Winter,9869,0,0,0,44.35,-68.21
Acadia NP,Acadia National Park,Acadia,ACAD,National Park,Northeast,ME,2013,3,Mar 1 2013,Spring,20631,0,0,0,44.35,-68.21
Acadia NP,Acadia National Park,Acadia,ACAD,National Park,Northeast,ME,2013,4,Apr 1 2013,Spring,47090,1203,0,0,44.35,-68.21
Acadia NP,Acadia National Park,Acadia,ACAD,National Park,Northeast,ME,2013,5,May 1 2013,Spring,133653,5985,1230,45,44.35,-68.21
Acadia NP,Acadia National Park,Acadia,ACAD,National Park,Northeast,ME,2013,6,Jun 1 2013,Summer,315791,17415,4482,226,44.35,-68.21
Acadia NP,Acadia National Park,Acadia,ACAD,National Park,Northeast,ME,2013,7,Jul 1 2013,Summer,555308,34113,7569,368,44.35,-68.21
Acadia NP,Acadia National Park,Acadia,ACAD,National Park,Northeast,ME,2013,8,Aug 1 2013,Summer,617306,37020,7980,343,44.35,-68.21
Acadia NP,Acadia National Park,Acadia,ACAD,National Park,Northeast,ME,2013,9,Sep 1 2013,Autumn,400400,17322,7107,184,44.35,-68.21
Acadia NP,Acadia National Park,Acadia,ACAD,National Park,Northeast,ME,2013,10,Oct 1 2013,Autumn,94904,1212,528,0,44.35,-68.21
Acadia NP,Acadia National Park,Acadia,ACAD,National Park,Northeast,ME,2013,11,Nov 1 2013,Autumn,41181,423,129,0,44.35,-68.21
Acadia NP,Acadia National Park,Acadia,ACAD,National Park,Northeast,ME,2013,12,Dec 1 2013,Winter,7540,60,0,0,44.35,-68.21
Acadia NP,Acadia National Park,Acadia,ACAD,National Park,Northeast,ME,2014,1,Jan 1 2014,Winter,10459,0,0,0,44.35,-68.21
Acadia NP,Acadia National Park,Acadia,ACAD,National Park,Northeast,ME,2014,2,Feb 1 2014,Winter,10258,0,0,0,44.35,-68.21
Acadia NP,Acadia National Park,Acadia,ACAD,National Park,Northeast,ME,2014,3,Mar 1 2014,Spring,17502,0,0,0,44.35,-68.21
